Fiscal_Year,Fiscal_Period,Department,Program,Expense_Category,Fund,Vendor_Name,Vendor_Number,Payment_Number,Payment_Method,Payment_Issue_date,Payment_Status,Amount
2015,1,LAND AND NATURAL RESOURCES                                  ,LNR804,OPERATING SUPPLIES                                ,,"ALLIED PLASTIC LUMBER, LLC",331736,B0000428,Check,7/31/14 0:00,Paid,99793.17
2015,5,LAND AND NATURAL RESOURCES                                  ,LNR407,OPERATING SUPPLIES                                ,,"HAWAII MEGA-COR., INC.",29765,B0002180,Check,11/19/14 0:00,Paid,71869.80
2015,5,LAND AND NATURAL RESOURCES                                  ,LNR407,OPERATING SUPPLIES                                ,,"HAWAII MEGA-COR., INC.",29765,B0002180,Check,11/19/14 0:00,Paid,91359.00
2015,2,LAND AND NATURAL RESOURCES                                  ,LNR172,OPERATING SUPPLIES                                ,,"HAWAII MEGA-COR., INC.",29765,S0008656,Check,8/18/14 0:00,Paid,33702.37
2015,2,LAND AND NATURAL RESOURCES                                  ,LNR407,OPERATING SUPPLIES                                ,,"HAWAII MEGA-COR., INC.",29765,S0009527,Check,8/22/14 0:00,Paid,87297.92
2015,2,LAND AND NATURAL RESOURCES                                  ,LNR407,OPERATING SUPPLIES                                ,,"HAWAII MEGA-COR., INC.",29765,S0009527,Check,8/22/14 0:00,Paid,250000.00
2015,6,LAND AND NATURAL RESOURCES                                  ,LNR407,OPERATING SUPPLIES                                ,,"HAWAII MEGA-COR., INC.",29765,S0037439,Check,12/30/14 0:00,Paid,101015.87
2014,7,LAND AND NATURAL RESOURCES                                  ,LNR407,OPERATING SUPPLIES                                ,,"HAWAII MEGA-COR., INC.",29765,S0041784,Check,1/22/14 0:00,Paid,189946.65
2015,1,PUBLIC SAFETY                                               ,PSD420,OPERATING SUPPLIES                                ,,"TOUCH LEGAL, INC.",279573,G0008765,Check,7/31/14 0:00,Paid,31333.92
2015,1,PUBLIC SAFETY                                               ,PSD420,OPERATING SUPPLIES                                ,,"TOUCH LEGAL, INC.",279573,G0008765,Check,7/31/14 0:00,Paid,44011.56
2014,10,HEALTH                                                      ,HTH100,SCIENTIFIC SUPPLIES                               ,,GEN-PROBE SALES & SERVICES INC,208925,G0080406,Check,4/21/14 0:00,Paid,67979.14
2014,12,HEALTH                                                      ,HTH100,SCIENTIFIC SUPPLIES                               ,,GEN-PROBE SALES & SERVICES INC,208925,G0100444,Check,6/26/14 0:00,Paid,78149.91
2014,12,HEALTH                                                      ,HTH100,SCIENTIFIC SUPPLIES                               ,,GEN-PROBE SALES & SERVICES INC,208925,G0101946,Check,6/30/14 0:00,Paid,34173.39
2014,12,HEALTH                                                      ,HTH100,SCIENTIFIC SUPPLIES                               ,,GEN-PROBE SALES & SERVICES INC,208925,G0101946,Check,6/30/14 0:00,Paid,36238.56
2015,2,HEALTH                                                      ,HTH100,MOTOR VEHICLE GAS & OIL                           ,,"MID PAC PETROLEUM, LLC",322224,G0014948,Check,8/25/14 0:00,Paid,112356.01
2015,6,DEFENSE                                                     ,DEF110,OPERATING SUPPLIES                                ,,"TRACE INDUSTRIES, INC.",326370,S0036630,Check,12/26/14 0:00,Paid,31917.50
2015,1,HEALTH                                                      ,HTH100,DRUGS & BIOLOGICS                                 ,,AMERISOURCEBERGEN DRUG CORP.,275574,G0001181,Check,7/7/14 0:00,Paid,36213.60
2015,1,HEALTH                                                      ,HTH100,DRUGS & BIOLOGICS                                 ,,AMERISOURCEBERGEN DRUG CORP.,275574,G0001181,Check,7/7/14 0:00,Paid,53793.67
2015,4,HEALTH                                                      ,HTH131,DRUGS & BIOLOGICS                                 ,,AMERISOURCEBERGEN DRUG CORP.,275574,G0037831,Check,10/31/14 0:00,Paid,73654.40
2015,4,HEALTH                                                      ,HTH131,DRUGS & BIOLOGICS                                 ,,AMERISOURCEBERGEN DRUG CORP.,275574,G0037831,Check,10/31/14 0:00,Paid,150534.09
2014,12,HEALTH                                                      ,HTH100,DRUGS & BIOLOGICS                                 ,,AMERISOURCEBERGEN DRUG CORP.,275574,G0095157,Check,6/12/14 0:00,Paid,27785.58
2015,4,HEALTH                                                      ,HTH100,DRUGS & BIOLOGICS                                 ,,AMERISOURCEBERGEN DRUG CORP.,275574,S0022932,Check,10/21/14 0:00,Paid,26349.03
2015,4,HEALTH                                                      ,HTH100,DRUGS & BIOLOGICS                                 ,,AMERISOURCEBERGEN DRUG CORP.,275574,S0022932,Check,10/21/14 0:00,Paid,36696.14
